,GroupID,PatientID,Patient Acct #,First Name,MI,Last Name,Date of Birth,Sex,Current Street 1,Current Street 2,Current City,Current State,Current Zip Code,Previous First Name,Previous MI,Previous Last Name,Previous Street 1,Previous Street 2,Previous City,Previous State,Previous Zip Code,Zip Code String,National Area,Sectional Center,Delivery Area,dob_string,rnaFirstName,rnaLastName,cleaned street,full_name_hash,partial_name_hash,grouping
0,1,1,247028705-7,Sutton,J,Power,9/20/1945,M,1858 Sullivan Parkway,0,Fresno,CA,93726.0,0,0,0,2 Erie Crossing,Apt 9,Mount Vernon,New York,10557.0,93726,9,37,26,19450920,Sutton,Power,"['1858', 'sullivan', 'parkway']",f513a340f370e0d1e213cbe5a7e030f3c3729928~Power,8904f84c4af7db2bba24968b9628c21a678941bb~Pow,0
1,1,2,0,Suttin,James,Power,9/21/1945,M,1859 Sullivan Parkway,#2,Fresno,CA,93726.0,0,0,0,2 Erie Crossing,Apartment # 9,Mount Vernon,New York,10557.0,93726,9,37,26,19450921,Suttin,Power,"['1859', 'sullivan', 'parkway']",cb4eb0277fecfbdee00d5951d5e4e4f1cabbe283~Power,4e82ecca5923b548d8f4e9583e378401046302b4~Pow,0
2,1,3,247028705-7,Sutton,J,Power,9/20/1945,M,1858 Sullivan Parkway,0,Fresno,CA,93726.0,0,0,0,0,0,0,0,0.0,93726,9,37,26,19450920,Sutton,Power,"['1858', 'sullivan', 'parkway']",f513a340f370e0d1e213cbe5a7e030f3c3729928~Power,8904f84c4af7db2bba24968b9628c21a678941bb~Pow,0
3,1,4,0,Sutton,0,Power,9/20/1954,M,1858 Sullivan Parkway,0,Fresno,CA,93726.0,0,0,0,0,0,0,0,0.0,93726,9,37,26,19540920,Sutton,Power,"['1858', 'sullivan', 'parkway']",d31c28f50fed0591d910c358b3d1fa93b05f49e0~Power,944a54f27ba70e232d8ed8c541e5af2df06d2dc1~Pow,1
4,1,5,0,SUTTON,0,POWER,9/20/1954,M,1858 SULLIVAN PKWAY,APT 2,FRESNO,CA,93726.0,0,0,0,0,0,0,0,0.0,93726,9,37,26,19540920,SUTTON,POWER,"['1858', 'sullivan', 'pkway']",63fae202660839596baf56a46c6396dbd629705b~POWER,73cdae46281d17b0df93453d065f05a419f85cb2~POW,2
5,2,6,0,Sutton,0,Powers,12/15/2000,F,1619 Maple Lane,0,Fresno,CA,93726.0,Sutton,0,Lore,0,0,0,0,0.0,93726,9,37,26,20001215,Sutton,Powers,"['1619', 'maple', 'lane']",f2afb3a66cc1e0800891c549f1cec847d265ffcd~Powers,ba3397308dd41e718e805f54b5d3c8a8126ba68c~Pow,1
6,2,7,0,Sutton,0,Powers,12/15/2000,F,1619 Maple Lane,0,Fresno,CA,93726.0,0,0,0,0,0,0,0,0.0,93726,9,37,26,20001215,Sutton,Powers,"['1619', 'maple', 'lane']",f2afb3a66cc1e0800891c549f1cec847d265ffcd~Powers,ba3397308dd41e718e805f54b5d3c8a8126ba68c~Pow,1
7,3,8,757393348-7,Mikel,L,Trayton,9/20/2000,M,715 Jana Point,0,ApacheJunction,AZ,85219.0,0,0,0,81089 Kenwood Park,0,Chattanooga,Tennessee,37416.0,85219,8,52,19,20000920,Mikel,Trayton,"['715', 'jana', 'point']",0bc2a2763ff1c513fc03ba8769467d13c622985d~Trayton,d904fd02703572580c9aaffbcd8db7306a9f7db3~Tra,3
8,3,9,757393348-7,Mikel,Lee,Trayton,9/20/2000,M,715 Jana Point,0,ApacheJunction,AZ,85219.0,0,0,0,81089 Kenwood Park,0,Chattanooga,Tennessee,37416.0,85219,8,52,19,20000920,Mikel,Trayton,"['715', 'jana', 'point']",0bc2a2763ff1c513fc03ba8769467d13c622985d~Trayton,d904fd02703572580c9aaffbcd8db7306a9f7db3~Tra,3
9,3,10,757393348-7,Michael,0,Trayton,9/20/2000,M,715 Jana Point,0,ApacheJunction,AZ,85219.0,0,0,0,81089 Kenwood Park,7,Chattanooga,Tennessee,37416.0,85219,8,52,19,20000920,Michael,Trayton,"['715', 'jana', 'point']",0951d40c4ed28aa17f235c685456b7aeeb40cb3d~Trayton,b55377afc9a7de2a8659158576cb7f405a401491~Tra,3
